type, name, country, latitude, longitude, elevation, population
city, Chesapeake, US, 36.81904, -76.27494, 9, 222209
city, East Hampton, US, 37.03737, -76.33161, 7, 147993
city, Hampton, US, 37.02987, -76.34522, 7, 137436
city, Newport News, US, 36.97876, -76.428, 7, 180719
city, Norfolk, US, 36.84681, -76.28522, 15, 242803
city, Richmond, US, 37.55376, -77.46026, 68, 204214
city, Virginia Beach, US, 36.85293, -75.97798, 4, 437994
city, Hartford, US, 41.76371, -72.68509, 27, 124775
city, New Haven, US, 41.30815, -72.92816, 20, 129779
city, North Stamford, US, 41.13815, -73.54346, 76, 121230
city, Stamford, US, 41.05343, -73.53873, 16, 122643
city, Waterbury, US, 41.55815, -73.0515, 84, 110366
city, Cedar Rapids, US, 42.00833, -91.64407, 251, 126326
city, Des Moines, US, 41.60054, -93.60911, 264, 203433
city, Aurora, US, 41.76058, -88.32007, 210, 197899
city, Chicago, US, 41.85003, -87.65005, 180, 2695598
city, Elgin, US, 42.03725, -88.28119, 229, 108188
city, Joliet, US, 41.52519, -88.0834, 174, 147433
city, Naperville, US, 41.78586, -88.14729, 217, 141853
city, North Peoria, US, 40.71754, -89.58426, 194, 113004
city, Peoria, US, 40.69365, -89.58899, 165, 115007
city, Rockford, US, 42.27113, -89.094, 224, 152871
city, Fort Wayne, US, 41.1306, -85.12886, 250, 253691
city, South Bend, US, 41.68338, -86.25001, 213, 101168
city, Boston, US, 42.35843, -71.05977, 38, 617594
city, Cambridge, US, 42.3751, -71.10561, 13, 105162
city, Lowell, US, 42.63342, -71.31617, 39, 106519
city, South Boston, US, 42.33343, -71.04949, 20, 571281
city, Springfield, US, 42.10148, -72.58981, 49, 153060
city, Worcester, US, 42.26259, -71.80229, 164, 181045
city, Ann Arbor, US, 42.27756, -83.74088, 271, 113934
city, Detroit, US, 42.33143, -83.04575, 192, 713777
city, Flint, US, 43.01253, -83.68746, 231, 102434
city, Grand Rapids, US, 42.96336, -85.66809, 205, 188040
city, Lansing, US, 42.73254, -84.55553, 260, 114297
city, Sterling Heights, US, 42.58031, -83.0302, 190, 129699
city, Warren, US, 42.47754, -83.0277, 195, 134056
city, Minneapolis, US, 44.97997, -93.26384, 262, 382578
city, Rochester, US, 44.02163, -92.4699, 314, 106769
city, Saint Paul, US, 44.94441, -93.09327, 242, 285068
city, Fargo, US, 46.87719, -96.7898, 279, 105549
city, Lincoln, US, 40.8, -96.66696, 366, 258379
city, Omaha, US, 41.25861, -95.93779, 343, 408958
city, Manchester, US, 42.99564, -71.45479, 81, 109565
city, Edison, US, 40.51872, -74.4121, 27, 102548
city, Elizabeth, US, 40.66399, -74.2107, 7, 124969
city, Jersey City, US, 40.72816, -74.07764, 11, 247597
city, Newark, US, 40.73566, -74.17237, 22, 277140
city, Paterson, US, 40.91677, -74.17181, 35, 146199
city, Amherst, US, 42.97839, -78.79976, 182, 122366
city, The Bronx, US, 40.84985, -73.86641, 19, 1385108
