name,iata,type,latitude,longitude
Baikonur Cosmodrome,"",spaceport,45.963573940312365,63.30735442387505
Kennedy Space Center,"",spaceport,28.516370477202706,-80.6369680911892
Centre Spatial Guyanais,"",spaceport,5.239410012580352,-52.76842968934524
Queen Beatrix Int'l,AUA,mid,12.503464363029721,-70.00762285634964
Djibouti-Ambouli Int'l,JIB,mid,11.552101823017216,43.149712785995575
Diego Aracena Int'l,IQQ,mid and military,-20.547840087830867,-70.17863539553298
Sabiha Gokcen Havaalani,SAW,major,40.90430035539573,29.309599142388944
Kosrae Island,KSA,mid,5.352009857182798,162.95704122507613
Funafuti Int'l,FUN,mid,-8.52485415059424,179.19544202302
Dr. Babasaheb Ambedkar Int'l,NAG,mid,21.089931763008746,79.0537976421986
Phuket Int'l,HKT,mid,8.107684759527347,98.30603849005591
Nadi Int'l,NAN,mid,-17.752912947979222,177.45115119805948
Lic. Jesus Teran Peredo Int'l,AGU,mid,21.701339032920746,-102.3140937400579
Albenga,ALL,mid,44.04587735981584,8.12314535436409
Queen Alia Int'l,AMM,major,31.722662160043214,35.989707162192985
Chacalluta Int'l,ARI,mid,-18.349206163957913,-70.3357301410959
Atar Int'l,ATR,mid,20.498270610156464,-13.05117043233154
Ernesto Cortissoz Int'l,BAQ,mid,10.886677595941366,-74.77655597826495
Teniente Luis Candelaria Int'l,BRC,mid,-41.14599769581051,-71.16143008697632
Bouake,BYK,mid,7.736104955550318,-5.0689422227531145
Philip S. W. Goldson Int'l,BZE,major,17.536068657552093,-88.30820640330747
Corpus Christi Int'l,CRP,major,27.77445607008226,-97.50226787102976
Hato Int'l,CUR,mid,12.184834605201921,-68.95687880727611
Velazco Astete Int'l,CUZ,major,-13.538218699263911,-71.94366414497216
Julius Nyerere Int'l,DAR,mid,-6.866720042491186,39.207471503916466
Detroit City,DET,mid,42.40909384319068,-83.00396814177334
Presidente Nicolau Lobato Int'l,DIL,mid,-8.549311574145644,125.52485420918208
Moscow Domodedovo Int'l,DME,major,55.41415282230229,37.90025312894517
Dunedin Int'l,DUD,mid,-45.923431,170.200027
Dzaoudzi Pamanzi Int'l,DZA,mid,-12.80494743816432,45.281786419789874
El Paso Int'l,ELP,mid,31.799086027258937,-106.39571467936567
Zvartnots Int'l,EVN,major,40.15236794518844,44.40006305369384
Fort Worth Meacham Field,FTW,major,32.82075290479723,-97.35513485615866
JAGS McCartney Int'l,GDT,mid,21.442123743906283,-71.14613374488756
Scholes Int'l,GLS,mid,29.2671239212096,-94.85540138762639
Goma Int'l,GOM,mid,-1.6583179500206946,29.240053495222842
Garoua Int'l,GOU,mid,9.33068867678854,13.372430937787765
Antonio B. Won Pat Int'l,GUM,major,13.492646235946513,144.8058503570926
Gary/Chicago Int'l,GYY,mid,41.617793001516596,-87.40835962474056
Prince Said Ibrahim Int'l,HAH,mid,-11.536639382912684,43.274561217961576
Hobart Int'l,HBA,mid,-42.83760836948221,147.50599619040787
Honiara Int'l,HIR,mid,-9.427575664001457,160.04585512992452
Kiev Zhuliany Int'l,IEV,mid,50.412808165984956,30.445130518210362
Irkutsk S.E.,IKT,mid and military,52.272889388224414,104.35585974800242
