name,latitude,longitude
Ratnagiri,17.00194444,73.27179034
Bantry,51.68055556,-9.456183746
Wexford,52.34111111,-6.456183746
Khorramshahr,30.4325,48.18545347
Djupivogur,64.66055556,-14.28651355
Faskrudsfjordur,64.92972222,-14.00883392
Raufarhofn,66.45638889,-15.94146054
Pantelleria,36.83333333,11.93792697
Catania,37.49583333,15.09093051
Fiumicino,41.75583333,12.23545347
Lampedusa,35.49916667,12.6024735
Manfredonia,41.62416667,15.92532391
Ocho Rios,18.41027778,-77.10671378
Port Antonio,18.18111111,-76.45176678
Nishinoomote,30.73166667,130.9856302
Akita,39.76222222,140.0398704
Hachinohe,40.54583333,141.5235571
Ishigaki,24.33555556,124.1512367
Matsuyama,33.85527778,132.693404
Sakata,38.93944444,139.8035336
Takamatsu,34.35527778,134.0533569
Wakkanai,45.41055556,141.6891637
Tottori,35.54027778,134.187927
Lamu,-2.268055556,40.90159011
Gunsan,35.95972222,126.5881037
Pohang,36.01972222,129.4028269
Samcheok,37.43361111,129.1882803
Sokcho,38.20694444,128.5923439
Ulsan,35.48777778,129.3856302
Tripoli,34.45527778,35.81914016
Buchanan,5.858055556,-10.05265018
Tripoli,32.9075,13.19358068
Agadir,30.42388889,-9.634923439
Al Hoceima,35.24777778,-3.919846879
Dakhla,23.68222222,-15.93386337
Antalaha,-14.9,50.2762073
Manakara,-22.1425,48.01878681
Mananjary,-21.24916667,48.3262073
Morondava,-20.28861111,44.27196702
Toamasina,-18.15722222,49.42196702
Loreto,26.01472222,-111.3368669
Campeche,19.8125,-90.59040047
Cozumel,20.495,-86.95742049
La Paz,24.16944444,-110.310424
Playa del Carmen,20.62444444,-87.06772674
Puerto Penasco,31.30611111,-113.5423439
Puerto Vallarta,20.65916667,-105.2409305
Coatzacoalcos,18.12972222,-94.41896349
Bassein,16.77972222,94.72338045
Nacala,-14.54138889,40.6671967
Pemba,-12.96666667,40.48492344
Quelimane,-17.88166667,36.87709069
Port Louis,-20.14805556,57.48987044
Malacca,2.248888889,102.1233804
Port Dickson,2.536111111,101.7886337
Walvis Bay,-22.94055556,14.50053004
Calabar,4.986388889,8.316843345
Groningen,53.21833333,6.586866902
Alta,69.96777778,23.23704358
Andenes,69.32416667,16.1237338
Bronnoysund,65.4725,12.20194346
Farsund,58.08861111,6.789870436
Floro,61.59777778,5.002826855
Kristiansand,58.14194444,7.986336867
Namsos,64.46416667,11.49004711
Rorvik,64.86055556,11.22691402
Sandnessjoen,66.02166667,12.61878681
Stokmarknes,68.56833333,14.90989399
Stord,59.78,5.501413428
Picton,-41.28555556,174.004417
Dunedin,-45.87583333,170.5193168
Salalah,16.94166667,54.00318021
Gwadar,25.11222222,62.33863369
Bocas del Toro,9.34,-82.23757362
La Palma,8.413611111,-78.15106007
Chimbote,-9.076666667,-78.60777385
Ilo,-17.64694444,-71.34375736
Mollendo,-17.03111111,-72.01024735
Pisco,-13.73305556,-76.22196702
Dumaguete,9.311944444,123.3081272
General Santos,6.086111111,125.1542403
Buka,-5.431944444,154.671967
Daru,-9.068333333,143.2065371
Lae,-6.741111111,146.9847468
Madang,-5.213333333,145.8003534
Gdansk,54.39333333,18.66878681
Gdynia,54.53333333,18.53845701
Aguadilla,18.42944444,-67.15706714
Arecibo,18.48138889,-66.70035336
Mayaguez,18.21388889,-67.15689046
Faro,37.01055556,-7.926030624
