name,elevation,latitude,longitude
Malubiting West,7453,36.00166667,74.87583333
White Mtn. Peak,4342,36.16972222,-117.08916667
Mt. Tutoko,2723,-44.60000000,168.00000000
Mt. Ostry Tolbachik,3672,55.83083333,160.32583333
Süphan Dagi,4058,38.93166667,42.83416667
Dansketinden,2839,72.11666667,-24.90000000
Mt. Crillon,3879,58.66277778,-137.17472222
Mt. Jackson,3184,-71.38333333,-63.36666667
Cerro Pintado,3660,10.33833333,-72.90416667
Hochkönig,2941,47.42027778,13.06250000
Cerro Tiotepec,3550,17.46833333,-100.13750000
Keele Peak,2972,63.43138889,-130.32388889
Scud Peak,2987,57.24111111,-131.16750000
Golem Korab,2764,41.79111111,20.54777778
Nevado de Chañi,5930,-24.06333333,-65.74583333
Cerro Aucanquilcha,6176,-21.22083333,-68.46833333
Dufourspitze,4634,45.93694444,7.86694444
Mauna Loa,4169,19.47555556,-155.60555556
Saltoro Kangri I,7742,35.40500000,76.84750000
Norin Kang,7206,28.94833333,90.17833333
Gannett Peak,4208,43.18416667,-109.65361111
Cloud Peak,4013,44.38194444,-107.17416667
Gasherbrum I,8080,35.72583333,76.69500000
Razorback Mtn.,3183,51.59000000,-124.69166667
Kangju Kangri,6725,33.72333333,78.52833333
Mt. Victoria,3070,21.23333333,93.90333333
Mt. Odin,2147,66.55000000,-65.43333333
Cerro el Libertador,6380,-24.93166667,-66.39083333
Monte Pissis,6795,-27.75583333,-68.79916667
Gora Tebulosmta,4493,42.57333333,45.31750000
Mt. Takahe,3460,-76.28333333,-112.08333333
Aragats Lerrnagagat,4090,40.52416667,44.19666667
Tanete Gandangdewata,3074,-2.74833333,119.36833333
Gunung Tahan,2187,4.63250000,102.23416667
Cerro el Nacimiento,3710,16.21166667,-96.19583333
Cerro Picacho del Diablo,3110,30.99083333,-115.37500000
Hoher Dachstein,2995,47.47527778,13.60638889
Ghamubar Zom,6518,36.59000000,73.34166667
Ich Obo,3802,44.79916667,95.24000000
Marmolada,3343,46.43472222,11.85083333
Gunung Liman,2563,-7.82500000,111.76083333
"North Buttress, Mt. Hesperus",2996,61.80388889,-154.14472222
Shah Fuladi,5060,34.64333333,67.62500000
Mt. Farnham,3493,50.48833333,-116.48666667
Kimhandu,2653,-7.09250000,37.61833333
Kinyeti,3187,3.94583333,32.91000000
Hvannadalshnukur,2119,64.01583333,-16.67472222
Mt. Madiac,2117,11.38916667,122.16166667
Gunung Marapi,2891,-0.38000000,100.47416667
Cerro de la Majadita,6280,-30.42000000,-69.78083333
Buku Sibela,2111,-0.73666667,127.52416667
Yuzhno Muiskyy Khrebet HP,3067,55.97416667,114.43916667
Cerro Marmolejo,6108,-33.73500000,-69.87833333
Mt. Foster,2105,-63.00000000,-62.55000000
Palup Qaqa,2105,71.33333333,-52.81666667
Mt. Bona,5045,61.38527778,-141.75055556
Barkol Shan,4320,43.38166667,93.35583333
Mt. Markham,4350,-82.85000000,161.35000000
Gunung Cikuray,2820,-7.32250000,107.86000000
Parîngul Mare,2519,45.34111111,23.54055556
Mt. Vsevidof,2103,53.12333333,-168.69222222
Kuh-e Shab,2681,27.43166667,55.13416667
Oscar Peak,2336,54.92833333,-129.06000000
Helan Shan HP,3540,38.83333333,105.95000000
Pic Macaya,2347,18.38250000,-74.02500000
Pik Skalistiy,5621,39.61916667,70.72000000
